"TractId","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
1073004901,"Alabama","Jefferson",1134,587,547,4.4,72.6,16.7,0,5.2,0,1058,34069,5538,41587,9164,23.9,0,48.8,19.3,25.2,4,2.6,77,0.5,2.6,13.2,2,4.7,15.4,793,81,16,3,0,2.7
1073004902,"Alabama","Jefferson",3091,1698,1393,6.5,64.6,19.9,0,7.4,0,2462,32230,8430,27643,4075,27.9,21.4,50.9,16.7,20.9,2.7,8.8,70,7.4,0.4,16.1,1.3,4.8,17.6,1843,74.6,22.2,2.9,0.4,7.1
1073005000,"Alabama","Jefferson",3502,2053,1449,21.6,58.9,15.1,0,3.2,0,2353,33704,8450,24864,4200,24.4,25.5,39.1,26.5,18.8,8.9,6.7,82.6,7.3,1.6,4.8,2.3,1.4,19,2125,85.8,9.9,4.3,0,6.4
1073005101,"Alabama","Jefferson",1933,773,1160,2.4,0.4,97.2,0,0,0,1148,15625,2996,9202,1455,63.4,86.9,10.5,38.3,21.8,4.7,24.7,61,26.2,5,5.9,1.5,0.4,18.8,554,87.5,6.3,6.1,0,18.6
1073005103,"Alabama","Jefferson",2947,1326,1621,1,3.7,91.5,0,0,0,2444,32632,14228,21863,3263,22.9,39.8,31.5,29.5,26.6,3.6,8.7,87.2,5.7,0.8,1.1,2.2,2.9,17.7,1158,65.7,30.6,2.9,0.8,7.4
1073005104,"Alabama","Jefferson",4032,1771,2261,10.1,19.9,64.8,1.1,0.2,0,2937,32670,3314,20355,2874,31.5,53.5,25.4,22.3,32.6,9,10.7,87,7.7,0.9,0.4,1.3,2.8,18.6,2418,83.4,10.4,6.2,0,5.8
1073005200,"Alabama","Jefferson",3405,1431,1974,0,3.3,96.7,0,0,0,2741,29614,4112,18126,2771,16.5,11.1,14.4,41.5,34.2,2.7,7.1,80.2,17.5,0.7,0,0,1.6,21.7,1247,80.2,17.2,2.1,0.5,20.1
1073005302,"Alabama","Jefferson",3294,1685,1609,0.9,58.9,38,0,0.9,0,2763,51583,8891,29226,3119,9.4,15.7,36.9,18.6,25.5,5.4,13.6,83.4,11.6,0,0,1.3,3.7,25.8,1685,85.7,8.7,5.6,0,6.5
1073005500,"Alabama","Jefferson",2191,937,1254,7,18.5,73.6,0.9,0,0,1427,21955,3996,11020,1753,47.1,67.3,23.7,25.8,19.2,11.1,20.2,91.2,4.6,3.2,0,1,0,21.1,624,84.3,15.1,0.6,0,14
1073005600,"Alabama","Jefferson",4730,1879,2851,7.8,75.3,16.9,0,0,0,4055,47757,10219,32053,4283,12.8,11.1,39.8,27.3,23.5,5.6,3.8,92.7,5.3,0,0,1.5,0.5,17.6,2631,90.6,6.8,2.6,0,4.2
1073005701,"Alabama","Jefferson",2474,1215,1259,0.6,1.1,98.3,0,0,0,1975,32625,9364,23962,8077,19.8,34.5,13.4,25.1,26.4,15.2,19.8,80.2,11.7,6.4,0,0,1.7,22.4,1063,81.9,8.9,9.1,0,10
1073005702,"Alabama","Jefferson",2847,1238,1609,0.1,5.1,94.8,0,0,0,2300,29201,6725,17014,3226,23.3,22.1,17.7,35.2,28.6,4.2,14.2,82.9,16.1,0,0,0,1,20,943,85.7,13,1.3,0,16.8
1073005800,"Alabama","Jefferson",3704,1941,1763,1.9,34.3,58.9,0.9,0.6,0,3126,31875,8297,24325,3955,32.4,55.7,27.3,29.7,26.7,8.3,7.9,93.7,3.8,0,0,2,0.4,17.6,2154,84.4,13,2.6,0,7
1073005903,"Alabama","Jefferson",5630,2669,2961,3.9,29.3,64.7,1,0.8,0,4056,46276,7902,20558,2590,23,39.3,31.5,17.6,26.6,4.4,20,81.7,16.6,0.9,0,0.1,0.7,25.7,2850,91.4,6.6,2,0,8
1073005905,"Alabama","Jefferson",5574,2518,3056,8.1,17.7,73.1,0,0,0,3850,31421,6517,15446,2187,25.5,41.1,19.3,20.7,33.3,9.8,16.8,81.5,14.6,1.8,2.1,0,0,26.5,2430,79.9,17.8,2.3,0,7.8
1073005907,"Alabama","Jefferson",2213,986,1227,0.9,26,72.3,0,0,0.2,1717,65042,11016,33266,10218,8.5,19.3,31.7,19.3,24.8,3.9,20.3,93.2,6.2,0,0,0,0.6,25.3,1078,69.9,23.8,6.3,0,3.7
1073005908,"Alabama","Jefferson",3714,1735,1979,0,13.6,85.8,0,0,0,2754,32260,5896,16430,2465,23.7,39.2,12.6,26.6,32.3,7.3,21.2,89.8,6.1,0,0,0,4.2,23.9,1629,81.8,14.3,3.9,0,16.2
1073005909,"Alabama","Jefferson",2798,1132,1666,0,10,88.5,0.5,0,0,2061,51599,7589,21033,2425,21.8,41.4,42.1,24,21.7,4.8,7.4,93.3,6.7,0,0,0,0,27.5,1215,81.7,16.5,1.8,0,15.9
1073005910,"Alabama","Jefferson",5819,2657,3162,1,7,89.1,0,0.3,0.3,4292,55361,8034,27941,3879,14.8,23.2,27.2,12.4,38.8,5.5,16.1,89.5,8.9,0.4,0,0,1.2,26.3,2846,78.5,17,4.5,0,8
1073010001,"Alabama","Jefferson",4876,2341,2535,2.8,58.1,37.8,0,0.9,0,3494,34432,4271,18344,3229,18.3,11.3,21.7,27.3,28.8,12.6,9.5,81.5,13.7,0,0,4.8,0,25.8,1982,80.5,14.9,4.5,0,6.6
1073010002,"Alabama","Jefferson",4750,2272,2478,2.9,72.7,23.4,0,0,0,3464,42689,6394,20609,1855,11.8,16.1,28,22.7,28.4,11.7,9.3,79,15.1,0,0.5,0.4,5.1,26.7,2143,72.4,20.2,7.4,0,5.6
1073010100,"Alabama","Jefferson",1284,535,749,0.5,3.3,95.5,0,0,0,1026,16500,4924,13147,1744,30.9,34.5,6.8,30.3,36,2.6,24.3,70.4,20.3,0,2,4.5,2.8,23.8,383,83.8,13.1,3.1,0,15.6
1073010200,"Alabama","Jefferson",3160,1798,1362,16.9,24.2,58.6,0,0,0,2442,36226,6639,17077,3949,25.4,30.7,16.4,31.3,11.4,17.9,23,65.3,23.2,3.5,4.3,2.8,0.9,23.4,985,81.9,9.2,8.8,0,22.8
1073010301,"Alabama","Jefferson",2679,1153,1526,2.7,18.1,75.6,0.8,0,0,1932,28750,6137,17280,3527,34.8,64.4,22.1,19.3,22.6,8.1,27.8,72.2,24.3,0,1.6,0.9,1,18.2,998,66.5,29.9,3.6,0,9.6
1073010302,"Alabama","Jefferson",4026,1779,2247,2.2,4.3,89.2,0,0,0,2750,21355,3197,13159,2049,37.8,56.6,19.4,29.7,20.9,5.6,24.3,73.9,17.8,1.5,4.5,1,1.3,20.5,1188,84.9,12,3.1,0,19.4
1073010401,"Alabama","Jefferson",3687,1842,1845,0.9,27,68.9,0,0,0,2707,26035,2192,15531,3042,37.2,56.9,16.9,20.3,21.1,20,21.7,82.7,7.5,2.6,0,3.2,4,24.2,1353,89.2,5.9,4.9,0,15.5
1073010402,"Alabama","Jefferson",2168,1032,1136,4.8,25.4,66.2,0,0,0,1486,41354,6755,23298,3840,28.5,44.3,23.2,22.2,33.7,8.4,12.4,86.9,4.8,0,0,0.9,7.4,22.5,1007,76.9,17.9,5.3,0,4.8
1073010500,"Alabama","Jefferson",1316,696,620,3.4,33.8,62.7,0,0,0,990,21139,3410,15602,3231,27.7,37.2,14,34.5,15.8,15.8,19.8,76.7,13.6,0.8,0.4,6.8,1.7,22.7,499,78.8,13.8,6.6,0.8,9.8
1073010602,"Alabama","Jefferson",5837,2289,3548,1.5,5.6,89.8,0,0,0,4428,25882,10941,14155,2242,40.5,63.2,16,25.8,38.7,3.5,16,81.9,4.9,2,5.8,4.1,1.3,20.9,1878,85.3,12.5,2.2,0,18.6
1073010603,"Alabama","Jefferson",2581,1099,1482,0,4,94.4,1.2,0,0,2107,48138,3779,24449,3552,13.5,10.5,27.2,24.9,15.5,2.4,30,84.8,12.5,0.4,1.6,0.7,0,22.2,1194,82.5,15.8,1.7,0,4.2
1073010701,"Alabama","Jefferson",1518,759,759,15.9,59,22.2,0,0,0,993,40991,9359,35318,7375,21.5,36.9,49.9,14.4,17.4,5,13.3,85.6,9.9,0.6,1.8,0.3,1.7,17.4,880,77.8,17.4,4.8,0,0.5
1073010702,"Alabama","Jefferson",4652,2339,2313,0.6,92.1,4.8,0,2.2,0,3499,92500,18391,58873,12572,9,5.5,65.6,7.8,21.1,2.6,3,78.2,9.5,0.8,3.3,1.4,6.8,21.6,2915,83.6,12.6,3.8,0,2.7
1073010703,"Alabama","Jefferson",2427,1205,1222,0.7,92,3.5,0.3,0.5,0,1667,126944,16796,61372,6626,4.5,3,70.8,10.7,13.1,2.1,3.3,88.7,1.1,0,1.7,2.1,6.4,14.8,1259,82.8,12.6,4.6,0,2
1073010704,"Alabama","Jefferson",4950,2100,2850,3.4,77,15.6,0,2.2,0,4035,70882,15732,27013,3914,10.7,1.5,55.4,18.2,20.5,1.8,4.2,75.8,7,0,13,0.3,3.9,17,2228,88.2,9,2.8,0,7.4
1073010705,"Alabama","Jefferson",4230,2207,2023,3.3,91.9,1.8,0,1.5,0,2815,108587,16378,46354,5405,6.1,7.3,63.1,6.8,23.6,4.2,2.3,86.7,4,0.1,1.2,2.5,5.3,17.1,2337,83.8,12.7,3.5,0,1.1
1073010706,"Alabama","Jefferson",4958,2641,2317,5.2,61.3,24.8,0.3,7,0,3482,51552,3811,27926,3701,14.3,6.1,41.1,21.5,24.3,7.4,5.7,83.4,8.1,2.5,0.4,2,3.7,17.3,2929,78.1,18.4,3,0.4,3.6
